seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
65,Harvey,Burgess,55,Abja Glen,Woucpa,FL,19041,$303.37,WHITE,06/13/2002
66,Janie,Beck,54,Ijolu Turnpike,Tejgibliv,MT,25602,$3744.22,YELLOW,01/24/1927
67,Mathilda,Watts,41,Jojeco Turnpike,Fuhevid,CA,03911,$1186.91,BLUE,06/16/1901
68,Willie,Evans,35,Kajofa Grove,Mutdaknos,MS,94383,$3877.30,YELLOW,03/31/1921
69,Mable,Perez,38,Nejop Plaza,Wuetha,DE,91972,$9487.59,YELLOW,12/13/1969
70,Mable,Mack,29,Julfe Court,Ezhadike,MO,39987,$7609.75,YELLOW,01/18/2048
71,Myrtie,Harmon,53,Wikzi Plaza,Cowebe,WA,99063,$6064.62,RED,01/02/1945
72,Noah,George,54,Tiri Key,Geajitol,IL,56185,$2562.82,YELLOW,06/02/1992
73,Jesus,Santos,27,Tinze Road,Libbunli,OH,74960,$5336.12,WHITE,09/07/2020
74,Hettie,Lindsey,42,Rear River,Colrofuke,NJ,02611,$7138.10,BLUE,10/04/1976
75,Micheal,Bush,22,Sazte Pass,Hevajiam,WV,67172,$531.36,WHITE,07/23/1935
76,Marc,Ruiz,53,Laena Park,Puvigfo,CO,03701,$6465.93,BLUE,05/14/1958
77,Alma,Crawford,22,Japo Terrace,Jupukkum,MN,74062,$1660.32,BLUE,05/26/1974
78,Jeff,Walker,36,Hese Glen,Hudeko,IN,32333,$6690.41,YELLOW,07/26/2016
79,Pearl,Miller,38,Honil Point,Beludeta,ND,81741,$6175.08,RED,07/04/2012
80,Katharine,Tyler,53,Tidjig Boulevard,Dukiuma,FL,79386,$2892.09,YELLOW,08/25/1939
81,Lottie,Martinez,33,Raudu Way,Tawliik,NH,35664,$8328.69,BLUE,09/21/1949
82,Marc,Lane,25,Izjam Turnpike,Jasace,DC,31112,$1603.23,BLUE,09/11/2028
83,Sean,Collins,47,Atzok Point,Huhaje,MI,83279,$8572.99,WHITE,09/21/1971
84,Lawrence,Fowler,27,Zarrok Court,Fesgufav,NH,50913,$603.64,YELLOW,01/04/1907
85,Frederick,Murray,64,Ifdaj Glen,Kuebomus,IL,58046,$5755.77,BLUE,06/16/1965
86,Brent,Reyes,36,Deel Square,Zuceug,MN,27934,$2540.52,RED,08/28/1996
87,Madge,Duncan,25,Bezjaw Plaza,Lijikitup,VT,57601,$2843.26,GREEN,04/08/1961
88,Vera,Fields,34,Mezi Circle,Venjevdi,OK,48481,$8578.43,WHITE,02/20/2011
89,Isabel,Anderson,52,Najej Plaza,Suwdovda,UT,04638,$6546.61,GREEN,09/17/2047
90,Julia,Lucas,61,Sohbis Boulevard,Defahce,TN,05284,$1763.20,GREEN,08/11/1950
91,Harry,Wong,57,Jatjom Boulevard,Rosokos,ND,65677,$2282.21,BLUE,06/29/2010
92,Anne,Rodriquez,44,Unowe Street,Fubsowak,UT,49924,$1867.94,GREEN,09/06/2008
93,Hallie,Reyes,29,Diwiha Pass,Imemejah,NM,23178,$3929.09,RED,09/30/2064
94,Lucas,Thomas,36,Febcib Street,Gebwukgu,LA,73506,$4469.08,WHITE,12/11/1983
95,Raymond,Peters,50,Zewuv Point,Lalazo,IL,84820,$1924.88,GREEN,10/19/2032
96,Teresa,Howell,44,Abnem Court,Sufsuono,IN,50979,$3673.58,RED,10/08/1901
97,Betty,Santiago,44,Gucdis Avenue,Neinter,UT,09782,$3600.33,BLUE,11/06/2051
98,Hannah,McDaniel,53,Vapreb Street,Muvoda,VA,54545,$6241.44,YELLOW,02/24/1934
99,Bertha,Frank,36,Ifarew Park,Nokmabab,SC,89803,$5705.30,RED,01/17/1909
100,Phoebe,Casey,35,Mozej Terrace,Adijovma,WV,52657,$5160.73,GREEN,10/18/1958
